Prediction;Acer_glabra;Acer_grandidentatum;Acer_negundo;Acer_pilosum;Acer_platanoides;Acer_saccharinum;Acer_saccharum;Acer_sieboldianum;Acer_tataricum;Acer_ukurunduense;Aesculus_hippocastanum;Aesculus_x hybride;Alnus_glutinosa;Alnus_incana;Ambrosia_artemisiifolia;Amelanchier_canadensis;Amelanchier_laevis;Betula_alleghaniensis;Betula_nigra;Betula_papyrifera;Betula_pendula;Betula_populifolia;Carpinus_betulus;Carpinus_caroliniana;Carya_cordiformis;Carya_glabra;Carya_ovata;Celtis_occidentalis;Corylus_avellana;Corylus_colurna;Corylus_cornuta;Cupressaceae_others;Elaeagnus_angustifolia;Fraxinus_americana;Fraxinus_pennsylvannica;Ginkgo_biloba;Gleditsia_triacanthos;Juglans_cinera;Juglans_nigra;Juniperus_chinensis;Juniperus_communis;Ligustrum_vulgare;Malus_baccata;Malus_pumila;Malus_spectabilis;Ostrya_virginiana;Picea_abies;Pinus_banksiana;Pinus_nigra;Pinus_parviflora;Pinus_ponderosa;Pinus_resinosa;Pinus_thunbergii;Populus_spp;Prunus_padus;Prunus_serotina;Prunus_serrulata;Prunus_virginiana;"Pyrus_calleryana ""chantecler""";Pyrus_ussuriensis;Quercus_alba;Quercus_bicolor;Quercus_macrocarpa;Quercus_palustris;Quercus_robur;Quercus_rubra;Robinia_pseudoacacia;Salix_cinerea;Salix_nigra;Salix_udensis;Sorbus_intermedia;Syringa_reticulata;Syringa_villosa;Syringa_vulgaris;Syringa_x chinensis;Syringa_x prestoniae;Taxus_canadensis;Taxus_cuspidata;Tilia_americana;Tilia_cordata;Ulmus_americana;Ulmus_bergmanianna;Ulmus_glabra;Ulmus_minor;Ulmus_propinqua;Ulmus_pumila
Carpinus_betulus;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;271;0;1;1;3;0;0;1;0;0;0;0;0;0;0;0;8;0;0;4;0;0;0;0;0;4;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carpinus_caroliniana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;8;12;5;3;0;248;0;0;0;0;1;2;11;1;1;0;5;2;2;0;0;0;1;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15;3;19;0;0;5;0;0;0;0;0;0;13;0;0;0;0;0;1;1;1;0;0
Carya_cordiformis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;290;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0
Carya_glabra;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;228;9;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;23;0;9;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carya_ovata;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;2;1;0;4;0;0;0;1;0;6;182;0;0;0;0;0;3;1;1;0;2;0;6;3;0;0;0;0;0;4;2;3;0;6;0;3;0;0;0;0;2;0;0;0;0;0;0;1;1;3;0;0;0;0;2;0;10;1;1;0;0;0;0;0;0;0;2;0;0;0
Celtis_occidentalis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;285;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;3;0;0;0;0;0;0;0;5;4;1;0;0;0;0;1;0;0;1;0;0;0
Corylus_avellana;0;0;1;0;1;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;1;0;0;0;0;4;3;0;4;3;2
Corylus_colurna;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;17;19;0;1;0;5;0;0;3;0;0;219;1;0;0;2;2;3;2;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;1;1;1;12;4;11;0;0;2;0;6;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0
Corylus_cornuta;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;2;0;4;0;0;1;0;0;2;281;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
Cupressaceae_;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;1;255;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Elaeagnus_angustifolia;0;3;0;0;0;0;0;6;0;5;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;5;3;0;0;0;0;0;247;0;0;0;0;0;1;3;0;0;2;1;3;0;3;0;1;5;0;3;1;0;1;0;2;0;1;0;1;0;1;0;0;0;1;0;0;0;5;1;1;0;0;0;1;0;3;1;0;0;1;0;0;0
Fraxinus_americana;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;3;1;0;0;0;0;0;3;0;0;0;0;1;257;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;10;8;0;3;0;0;0;0;2;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
Fraxinus_pennsylvannica;1;0;0;0;0;2;2;0;4;4;6;4;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;2;0;7;1;0;0;1;218;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;2;0;0;2;0;0;3;1;0;0;0;0;0;1;1;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;5;0;0;0
Ginkgo_biloba;0;0;0;0;0;0;0;0;4;0;0;1;1;0;0;0;0;1;1;6;1;1;0;1;0;0;0;0;0;0;0;0;0;5;5;251;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;1;0;0;3;0;1;0;0;0;0;7;0;0;9;4;0;0;1;0;4;0;2;0;7;0;0;0;0;0;0;0;0;0;0;0
Gleditsia_triacanthos;0;0;0;0;0;4;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;4;0;0;1;0;0;0;0;0;0;279;0;1;0;0;0;0;0;0;14;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;9;1;0;0;1;0;3;1;0;1;0;3;0;0;0;0;0;0;0;0;0;0
