"Prediction","Acer_glabra","Acer_grandidentatum","Acer_negundo","Acer_pilosum","Acer_platanoides","Acer_saccharinum","Acer_saccharum","Acer_sieboldianum","Acer_tataricum","Acer_ukurunduense","Aesculus_hippocastanum","Aesculus_x hybride","Alnus_glutinosa","Alnus_incana","Ambrosia_artemisiifolia","Amelanchier_canadensis","Amelanchier_laevis","Betula_alleghaniensis","Betula_nigra","Betula_papyrifera","Betula_pendula","Betula_populifolia","Carpinus_betulus","Carpinus_caroliniana","Carya_cordiformis","Carya_glabra","Carya_ovata","Celtis_occidentalis","Corylus_avellana","Corylus_colurna","Corylus_cornuta","Cupressaceae_","Elaeagnus_angustifolia","Fraxinus_americana","Fraxinus_pennsylvannica","Ginkgo_biloba","Gleditsia_triacanthos","Juglans_cinera","Juglans_nigra","Juniperus_chinensis","Juniperus_communis","Ligustrum_vulgare","Malus_baccata","Malus_pumila","Malus_spectabilis","Ostrya_virginiana","Picea_abies","Pinus_banksiana","Pinus_nigra","Pinus_parviflora","Pinus_ponderosa","Pinus_resinosa","Pinus_thunbergii","Populus_spp","Prunus_padus","Prunus_serotina","Prunus_serrulata","Prunus_virginiana","Pyrus_calleryana ""chantecler""","Pyrus_ussuriensis","Quercus_alba","Quercus_bicolor","Quercus_macrocarpa","Quercus_palustris","Quercus_robur","Quercus_rubra","Robinia_pseudoacacia","Salix_cinerea","Salix_nigra","Salix_udensis","Sorbus_intermedia","Syringa_reticulata","Syringa_villosa","Syringa_vulgaris","Syringa_x chinensis","Syringa_x prestoniae","Taxus_canadensis","Taxus_cuspidata","Tilia_americana","Tilia_cordata","Ulmus_americana","Ulmus_bergmanianna","Ulmus_glabra","Ulmus_minor","Ulmus_propinqua","Ulmus_pumila"
"Robinia_pseudoacacia",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,290,0,1,0,0,5,1,1,0,0,0,0,0,2,0,0,6,0,0,0
"Salix_cinerea",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,12,0,0,0,0,0,0,0,0,0,0,3,6,0,3,5,3
"Salix_nigra",0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,2,0,1,2,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,1,1,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,5,1,0,0,0,2,0,0,0,5,2,0,0,262,0,3,0,0,0,0,0,7,7,1,0,0,0,1,0,0,0
"Salix_udensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Sorbus_intermedia",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,206,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0
"Syringa_reticulata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,275,1,7,0,0,0,0,0,0,0,0,0,0,0,0
"Syringa_villosa",0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,4,1,7,2,0,3,0,1,0,0,6,1,0,14,1,2,0,1,2,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,1,0,2,12,1,0,6,0,5,0,170,8,2,1,0,0,0,0,0,0,4,0,0,0
"Syringa_vulgaris",0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,5,6,0,3,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,1,0,0,0,2,7,2,2,0,5,0,0,0,0,3,0,3,232,2,0,0,0,0,0,0,0,0,0,0,0
"Syringa_x chinensis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3,1,0,2,0,0,7,0,0,2,0,1,0,1,0,27,1,0,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,3,8,2,1,4,2,0,0,0,0,0,0,2,10,245,0,0,7,0,0,0,0,0,0,0,0
"Syringa_x prestoniae",0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,8,0,1,0,0,0,0,5,0,3,0,0,0,6,0,0,0,0,1,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,1,0,1,270,0,0,0,0,0,0,0,0,0,0
"Taxus_canadensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,239,12,0,0,0,0,0,0,0,0
"Taxus_cuspidata",0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,8,264,0,0,0,0,0,1,0,0
"Tilia_americana",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,2,1,4,0,0,1,0,258,70,0,0,0,0,0,0
"Tilia_cordata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13,223,0,0,1,0,0,0
"Ulmus_americana",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,234,1,0,10,7,24
"Ulmus_bergmanianna",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,262,0,17,1,17
"Ulmus_glabra",0,0,0,4,1,10,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,6,0,0,0,0,0,1,5,1,0,2,0,0,0,0,0,0,238,0,0,0
"Ulmus_minor",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,159,63,24
"Ulmus_propinqua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,58,188,24
"Ulmus_pumila",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,0,21,35,183
